0.0,14406,14184,28512,57102
1.0,1387,1308,2614,5309
2.0,1451,1467,2857,5775
3.0,1034,1019,2109,4162
4.0,1179,1191,2368,4738
5.0,998,942,1949,3889
6.0,1046,966,1993,4005
8.0,1949,1936,3939,7824
9.0,1017,1048,2018,4083
10.0,911,933,1824,3668
11.0,891,897,1916,3704
12.0,858,927,1775,3560
13.0,914,860,1776,3550
14.0,821,803,1613,3237
15.0,742,713,1526,2981
16.0,928,933,1940,3801
17.0,1247,1218,2461,4926
18.0,1143,1145,2188,4476
19.0,1114,1043,2150,4307
20.0,1021,1063,2003,4087
22.0,1897,1985,3947,7829
23.0,808,834,1620,3262
24.0,774,859,1615,3248
25.0,618,666,1372,2656
26.0,796,814,1669,3279
27.0,812,802,1628,3242
28.0,937,974,1919,3830
29.0,990,925,1915,3830
30.0,712,694,1444,2850
31.0,954,940,1712,3606
32.0,928,945,1870,3743
33.0,672,689,1344,2705
34.0,908,925,1880,3713
35.0,888,874,1709,3471
36.0,867,894,1735,3496
37.0,867,835,1630,3332
38.0,742,808,1527,3077
40.0,1869,1767,3644,7280
41.0,892,901,1762,3555
43.0,1471,1477,3079,6027
44.0,827,736,1615,3178
45.0,796,769,1514,3079
46.0,775,745,1511,3031
47.0,763,698,1465,2926
49.0,1362,1445,2772,5579
50.0,701,721,1375,2797
51.0,769,781,1539,3089
52.0,686,672,1309,2667
53.0,565,555,1101,2221
54.0,736,717,1507,2960
55.0,718,647,1406,2771
56.0,677,680,1344,2701
57.0,585,587,1170,2342
58.0,535,542,1091,2168
59.0,627,662,1303,2592
