0.0,17412,17457,34661,69530
1.0,911,871,1813,3595
2.0,774,743,1644,3161
3.0,623,613,1268,2504
4.0,628,576,1234,2438
5.0,779,817,1484,3080
6.0,774,732,1507,3013
7.0,682,680,1218,2580
8.0,602,645,1232,2479
9.0,612,612,1240,2464
10.0,461,485,1030,1976
11.0,427,420,806,1653
12.0,492,531,1028,2051
13.0,504,529,1000,2033
14.0,501,505,1011,2017
15.0,523,549,1095,2167
16.0,465,441,895,1801
17.0,376,385,784,1545
18.0,540,481,1011,2032
19.0,515,500,1001,2016
20.0,465,440,924,1829
21.0,400,466,866,1732
22.0,356,387,734,1477
23.0,333,325,740,1398
24.0,394,391,790,1575
25.0,403,378,796,1577
26.0,403,417,811,1631
27.0,356,317,689,1362
28.0,341,326,662,1329
29.0,341,335,688,1364
30.0,300,298,612,1210
31.0,315,306,606,1227
32.0,310,356,663,1329
33.0,234,215,429,878
34.0,297,306,569,1172
35.0,310,350,659,1319
36.0,329,310,602,1241
37.0,234,205,484,923
38.0,316,295,583,1194
39.0,351,326,585,1262
40.0,297,290,578,1165
41.0,289,246,547,1082
42.0,285,271,561,1117
43.0,340,301,654,1295
44.0,344,347,674,1365
45.0,279,268,552,1099
46.0,226,232,419,877
47.0,175,150,340,665
48.0,159,174,350,683
49.0,127,108,263,498
50.0,151,175,325,651
51.0,212,215,480,907
52.0,203,199,396,798
53.0,242,273,539,1054
54.0,223,212,453,888
55.0,265,254,539,1058
56.0,242,211,463,916
57.0,242,238,524,1004
58.0,279,287,571,1137
59.0,301,295,583,1179
